Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, Triggered By, Effects
Worker advancing time starts, NO REACTOR, none, 1, 135000000, 1, 135354200, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 140000000, 0, 140093800, NO TRIGGER, 0, <>, <>
Reaction starts, lidar, 0, 1, 140000000, 0, 140094600, NO TRIGGER, 0, <lidar.tLidar:>, <>
Reaction ends, lidar, 0, 1, 140000000, 0, 140096300, NO TRIGGER, 0, <>, <dataFusion.LIDARobject:lidarLogger.LIDARobject:>
Reaction starts, dataFusion, 0, 1, 140000000, 0, 140113400, NO TRIGGER, 0, <dataFusion.LIDARobject:>, <>
Reaction ends, dataFusion, 0, 1, 140000000, 0, 140269200, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 140000000, 0, 140269500, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 140000000, 1, 140270000, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 140000000, 1, 140270100, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 140000000, 1, 140299400, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 140000000, 1, 140299500, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 140000000, 1, 140299700, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 140000000, 1, 140300000, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 150000000, 0, 150168800, NO TRIGGER, 0, <>, <>
Reaction starts, lidar, 0, 1, 150000000, 0, 150175300, NO TRIGGER, 0, <lidar.tLidar:>, <>
